Code,Domaine,zoM49,Zone,Code-Élé,Élément,Code-Produit,Produit,Code-année,Année,Unité,Valeur,Symbole,Description-Symbole,Note
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1961"",""1961"",""100 g/ha"",""23950"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1962"",""1962"",""100 g/ha"",""30752"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1963"",""1963"",""100 g/ha"",""26624"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1964"",""1964"",""100 g/ha"",""31534"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1965"",""1965"",""100 g/ha"",""32655"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1966"",""1966"",""100 g/ha"",""28296"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1967"",""1967"",""100 g/ha"",""36365"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1968"",""1968"",""100 g/ha"",""36641"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1969"",""1969"",""100 g/ha"",""35809"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1970"",""1970"",""100 g/ha"",""34223"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1971"",""1971"",""100 g/ha"",""38614"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1972"",""1972"",""100 g/ha"",""45698"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1973"",""1973"",""100 g/ha"",""45067"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1974"",""1974"",""100 g/ha"",""45844"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1975"",""1975"",""100 g/ha"",""38734"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1976"",""1976"",""100 g/ha"",""37722"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1977"",""1977"",""100 g/ha"",""42303"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1978"",""1978"",""100 g/ha"",""50323"",""A"",""Chiffre officiel"","""""
