Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL,""Cultures et produits animaux"",""276"",""Allemagne"",""5510"",""Production"",""0111"",""Blé"",""1961"",""1961"",""tonnes"",""5076707"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""276"",""Allemagne"",""5510"",""Production"",""0111"",""Blé"",""1962"",""1962"",""tonnes"",""5906465"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""276"",""Allemagne"",""5510"",""Production"",""0111"",""Blé"",""1963"",""1963"",""tonnes"",""6135981"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""276"",""Allemagne"",""5510"",""Production"",""0111"",""Blé"",""1964"",""1964"",""tonnes"",""6551198"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""276"",""Allemagne"",""5510"",""Production"",""0111"",""Blé"",""1965"",""1965"",""tonnes"",""6149342"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""276"",""Allemagne"",""5510"",""Production"",""0111"",""Blé"",""1966"",""1966"",""tonnes"",""6053960"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""276"",""Allemagne"",""5510"",""Production"",""0111"",""Blé"",""1967"",""1967"",""tonnes"",""7830615"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""276"",""Allemagne"",""5510"",""Production"",""0111"",""Blé"",""1968"",""1968"",""tonnes"",""8575084"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""276"",""Allemagne"",""5510"",""Production"",""0111"",""Blé"",""1969"",""1969"",""tonnes"",""7987161"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""276"",""Allemagne"",""5510"",""Production"",""0111"",""Blé"",""1970"",""1970"",""tonnes"",""7794037"",""A"",""Chiffre officiel"","""""
